Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-05-21T21:39:50.000Z,Income,4.4238,BTT,,,,,0.005025436800000001,Binance,FALSE,2a8e2e3d-4efb-4a6a-ab93-f0797f952c48
2019-05-23T07:54:20.000Z,Income,0.2916,MATIC,,,,,0.009119920774704183,Binance,FALSE,d22a105b-d9dc-42b8-b75b-e5f91a1208bf
2019-05-24T09:50:15.000Z,Income,0.003,THETA,,,,,0.0003752144072604374,Binance,FALSE,99f2ab86-b9d1-4174-aa70-9d01cc15b9f9
2019-05-24T10:49:31.000Z,Income,0.0000136,DASH,,,,,0.0021820615509305042,Binance,FALSE,7498249f-4ccc-45e3-bbd7-01fd6d27a763
2019-05-26T20:07:52.000Z,Income,0.00000188,BTC,,,,,0.016332994347795827,Binance,FALSE,c0d07ae9-082b-4e2a-be28-c6e180cb8d97
2019-05-30T01:29:27.000Z,Income,0.4446,TRX,,,,,0.015225277744579034,Binance,FALSE,a793386e-84fb-4fcd-885b-10ccc9eaa009
2019-06-03T18:02:07.000Z,Income,0.0001245,BNB,,,,,0.003979383482602958,Binance,FALSE,d65b79cb-c5dc-4b5f-950b-20429747e3c9
2019-06-09T05:09:00.000Z,Income,0.00224,EOS,,,,,0.014201730334483806,Binance,FALSE,1d37da1c-6bf6-4740-ba27-3a5f38f098ce
2019-06-17T10:47:44.000Z,Income,0.0001336,XMR,,,,,0.013158636808060993,Binance,FALSE,248ed3e3-79c6-463a-af96-26a8222bcefc
2019-06-21T01:42:36.000Z,Income,0.1,PHB,,,,,0.0020102117284049904,Binance,FALSE,5d8c4129-f49b-4cf7-9011-265bf255c638
2019-06-21T08:48:00.000Z,Income,0.0000084,ETH,,,,,0.002397806958836467,Binance,FALSE,70bbd3a8-0cce-498a-999f-e20dbbb5e1a2
2019-06-21T19:27:33.000Z,Income,0.0488,TNT,,,,,0.00284946804937009,Binance,FALSE,7490796f-1d49-4478-baeb-b4fac2b2e6a7
2019-06-23T18:42:22.000Z,Income,0.005506,NEBL,,,,,0.0070989805270363394,Binance,FALSE,f8839101-a5c3-4c23-a5a2-a45e08408d1b
2019-07-06T07:19:08.000Z,Income,16.3428,DOGE,,,,,0.061230413270144717,Binance,FALSE,3459d5fc-e7fc-4a5e-8c83-74dd1c035aa4
2019-07-15T12:41:11.000Z,Income,0.06211,VIA,,,,,0.020936646702652256,Binance,FALSE,6c876439-0df4-4d59-a654-571145740ce0
2019-07-15T13:02:29.000Z,Income,2,CND,,,,,0.020704752082585345,Binance,FALSE,76f0d25c-29bf-45fd-b430-82c105b9d7b8
2019-07-15T17:00:16.000Z,Income,0.0322,DLT,,,,,0.0021941419617156426,Binance,FALSE,92fedd4f-97df-4297-9a8c-3829e8051611
2019-07-16T13:09:39.000Z,Income,2,POWR,,,,,0.15313436435870662,Binance,FALSE,0e7bc93e-c99f-4682-84d9-64b80b346568
2019-07-16T14:52:36.000Z,Income,2,POE,,,,,0.0073480582610038,Binance,FALSE,a91770f9-768d-424e-8b96-75256875acb5
2019-07-17T11:00:57.000Z,Income,0.5428,SNM,,,,,0.006684023298076838,Binance,FALSE,97c9ba78-5c13-43f0-814d-42e10ef38791
2019-07-17T17:01:33.000Z,Income,0.9986,SYS,,,,,0.03087465358887914,Binance,FALSE,d3402c4a-f598-488d-84fd-d135bdf4ce93
2019-07-18T08:12:51.000Z,Income,0.00255,NEO,,,,,0.029919821416560393,Binance,FALSE,4e33a3e9-ef93-4553-8646-9d616497ca2d
2019-07-18T08:50:44.000Z,Income,0.0014,LINK,,,,,0.0037196979444406573,Binance,FALSE,33e9f549-2ed0-485c-95bd-115fdf5d294a
