Date and Time,Transaction Type,Sent Quantity,Sent Currency,Sending Source,Received Quantity,Received Currency,Receiving Destination,Fee,Fee Currency,Exchange Transaction ID,Blockchain Transaction Hash
2019-05-21T21:39:50.000Z,Income,,,,4.4238,BTT,Binance,,,,
2019-05-23T07:54:20.000Z,Income,,,,0.2916,MATIC,Binance,,,,
2019-05-24T09:50:15.000Z,Income,,,,0.003,THETA,Binance,,,,
2019-05-24T10:49:31.000Z,Income,,,,0.0000136,DASH,Binance,,,,
2019-05-26T20:07:52.000Z,Income,,,,0.00000188,BTC,Binance,,,,
2019-05-30T01:29:27.000Z,Income,,,,0.4446,TRX,Binance,,,,
2019-06-03T18:02:07.000Z,Income,,,,0.0001245,BNB,Binance,,,,
2019-06-09T05:09:00.000Z,Income,,,,0.00224,EOS,Binance,,,,
2019-06-17T10:47:44.000Z,Income,,,,0.0001336,XMR,Binance,,,,
2019-06-21T01:42:36.000Z,Income,,,,0.1,PHB,Binance,,,,
2019-06-21T08:48:00.000Z,Income,,,,0.0000084,ETH,Binance,,,,
2019-06-21T19:27:33.000Z,Income,,,,0.0488,TNT,Binance,,,,
2019-06-23T18:42:22.000Z,Income,,,,0.005506,NEBL,Binance,,,,
2019-07-06T07:19:08.000Z,Income,,,,16.3428,DOGE,Binance,,,,
2019-07-15T12:41:11.000Z,Income,,,,0.06211,VIA,Binance,,,,
2019-07-15T13:02:29.000Z,Income,,,,2,CND,Binance,,,,
2019-07-15T17:00:16.000Z,Income,,,,0.0322,DLT,Binance,,,,
2019-07-16T13:09:39.000Z,Income,,,,2,POWR,Binance,,,,
2019-07-16T14:52:36.000Z,Income,,,,2,POE,Binance,,,,
2019-07-17T11:00:57.000Z,Income,,,,0.5428,SNM,Binance,,,,
2019-07-17T17:01:33.000Z,Income,,,,0.9986,SYS,Binance,,,,
2019-07-18T08:12:51.000Z,Income,,,,0.00255,NEO,Binance,,,,
2019-07-18T08:50:44.000Z,Income,,,,0.0014,LINK,Binance,,,,
2019-07-18T13:10:20.000Z,Income,,,,0.6212,AMB,Binance,,,,
2019-07-19T11:52:19.000Z,Income,,,,0.0267326,BCD,Binance,,,,
2019-07-19T11:52:50.000Z,Income,,,,0.0134,EVX,Binance,,,,
2019-07-29T08:46:01.000Z,Income,,,,0.5938,DATA,Binance,,,,
2019-07-29T10:23:42.000Z,Income,,,,0.0322,GRS,Binance,,,,
2019-07-29T10:44:10.000Z,Income,,,,0.0019,MCO,Binance,,,,
2019-07-29T11:23:32.000Z,Income,,,,0.0338,ONG,Binance,,,,
2019-07-29T14:39:38.000Z,Income,,,,0.00299,KMD,Binance,,,,
2019-07-29T16:43:18.000Z,Income,,,,0.5022,BCPT,Binance,,,,
2019-07-29T19:33:54.000Z,Income,,,,0.0016432,SKY,Binance,,,,
2019-07-30T03:22:11.000Z,Income,,,,0.1638,ELF,Binance,,,,
